Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,65.173
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Eastern and Southern,AFE,64.3257022314803
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Western and Central,AFW,58.4459527348481
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,78.686
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,77.063
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,61.487
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,77.146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,72.1707598827252
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.813
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,75.224
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,76.434
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,83.2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.1926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,73.123
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,74.053
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,77.419
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,72.868
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,79.308
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.7951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,74.754
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,62.077
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,82.0560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,72.08
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,71.771
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,77.545
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,69.793
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,76.084
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.998
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,73.6073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,61.981
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,61.916
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,73.166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,70.054
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,59.626
