ID,Name,Latitude,Longitude,BikesAvailable,EmptySlots,Installed,Locked,Temporary,UpdateTime
1,"River Street , Clerkenwell",51.52916347,-0.109970527,3,16,true,false,false,10:30
2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,31,6,true,false,false,10:30
3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,31,0,true,false,false,10:30
4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,7,16,true,false,false,10:30
5,"Sedding Street, Sloane Square",51.49313,-0.156876,25,0,true,false,false,10:30
6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,15,1,true,false,false,10:30
7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,0,14,true,false,false,10:30
8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,7,9,true,false,false,10:30
9,"New Globe Walk, Bankside",51.5073853,-0.096440751,19,0,true,false,false,10:30
10,"Park Street, Bankside",51.50597426,-0.092754157,17,0,true,false,false,10:30
11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,0,22,true,false,false,10:30
12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,22,27,true,false,false,10:30
13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,21,0,true,false,false,10:30
14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,7,10,true,false,false,10:30
15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,22,4,true,false,false,10:30
17,"Hatton Wall, Holborn",51.5216612,-0.109006325,18,7,true,false,false,10:30
16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,1,20,true,false,false,10:30
19,"Taviton Street, Bloomsbury",51.52505093,-0.131161087,6,22,true,false,false,10:30
18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,23,3,true,false,false,10:30
21,"Hampstead Road (Cartmel), Euston",51.53007835,-0.13884627,0,16,true,false,false,10:30
20,"Drummond Street , Euston",51.52773634,-0.135273468,3,24,true,false,false,10:30
23,"Red Lion Square, Holborn",51.51943538,-0.119123345,6,9,true,false,false,10:30
22,"Northington Street , Holborn",51.5222641,-0.114079481,18,1,true,false,false,10:30
25,"Doric Way , Somers Town",51.5288338,-0.132250369,10,21,true,false,false,10:30
24,"British Museum, Bloomsbury",51.51908011,-0.124678402,23,11,true,false,false,10:30
27,"Bouverie Street, Temple",51.51382102,-0.107927706,24,9,true,false,false,10:30
26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,0,21,true,false,false,10:30
29,"Hereford Road, Bayswater",51.513735,-0.193487,1,21,true,false,false,10:30
28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,12,7,true,false,false,10:30
31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,0,31,true,false,false,10:30
30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,4,19,true,false,false,10:30
